,uuid_store,owner_sore,owner_name,owner_last_name,store_name,latitude_coordinates,longitude_coordinates,description_store,image_store,store_phone_number,store_email,store_address,company_inscription,premium,product_type,modification_date,discharge_date
1,7985fff7-8168-4889-8362-bea18c3cfade,,Pía,Viana,CARNICERIA CHARCUTERIA POLLERIA PANADERIA,"437574,6","4471710,54",COMERCIO AL POR MENOR DE CARNICERIA,,+34 625419888,Pía_Viana@ortega.com,"CALLE FRAGATA,27",A12989009,False,C,2022-06-06,2022-06-06
2,9368681d-bbb5-4bd8-b9e9-b511f9749a18,,Estela,Tur,LA CHURRERIA DE MIGUEL,"436907,6","4471120,55","COMERCIO AL POR MENOR DE MASAS Y PATATAS FRITAS, CHURRERIA CON OBRADOR",,+34 621518037,Estela_Tur@alsina.com,"CALLE OCA,100",A45434606,True,R,2022-06-06,2022-06-06
4,ae291ed4-d1a3-4b98-905b-4a0f230c6b4f,,Pastora,Gargallo,80 S COFFEE,"438238,59","4470863,54",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 626417803,Pastora_Gargallo@noriega.com,"CALLE CAMINO VIEJO DE LEGANES,111",A19932172,False,R,2022-06-06,2022-06-06
5,0e10528d-6a29-40ec-b2eb-a4757a21fe0e,,Benigna,Tena,GROSELLA HORNO DE PAN PASTELERIA,"436195,59","4469464,55",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 627716524,Benigna_Tena@gimeno-rosales.es,"AVENIDA CARABANCHEL ALTO,2",A20760548,False,R,2022-06-06,2022-06-06
6,f046a0f3-2fd7-4199-9a51-5a63ef054450,,Diana,Barrena,PASTELERIA CAFETERIA,"436862,6","4470573,55","COMERCIO AL POR MENOR DE  PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION",,+34 621463123,Diana_Barrena@juan.es,"CALLE NUESTRA SEÑORA DE LA LUZ,22",A35059322,True,R,2022-06-06,2022-06-06
7,dc1b9c6e-75e1-493d-88d3-e5f8649b8c54,,Candela,Barco,OBRADOR LATINO,"436803,6","4470892,55",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 622836248,Candela_Barco@sastre-pons.com,"CALLE EL ESPINAR,14",A72855879,True,R,2022-06-06,2022-06-06
8,e55b676c-9a73-428e-bf65-dc151220e4d6,,Eligio,Zabaleta,POLLERIA MAMEL,"436798,6","4470833,55","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",,+34 620903493,Eligio_Zabaleta@salvador.es,"AVENIDA NUESTRA SEÑORA DE FATIMA,19",A40759345,False,C,2022-06-06,2022-06-06
9,9b170858-4b30-46ae-898d-8993c452960c,,Édgar,Oliver,PESCADERIA,"437971,59","4470368,54",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,,+34 628733461,Édgar_Oliver@pelaez-cervantes.es,"CALLE CAMINO VIEJO DE LEGANES,177",A26482856,False,P,2022-06-06,2022-06-06
10,9e0b00c4-51d8-4eae-b5e5-8f2df0f1dc0d,,Jerónimo,Segura,PESCADERIA ,"439396,59","4472047,53",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,,+34 623112078,Jerónimo_Segura@herrero.net,"CALLE ANTONIO LOPEZ,6",A74370461,True,P,2022-06-06,2022-06-06
11,ff2614b5-5882-4836-a000-80e072729ff1,,Febe,Galiano,CARNICERIA POLLERIA,"437723,6","4471698,54",COMERCIO AL POR MENOR DE CARNICERIA,,+34 621949085,Febe_Galiano@pastor-gimeno.com,"CALLE FRAGATA,7",A08632070,False,C,2022-06-06,2022-06-06
12,af3d6b14-a503-4e4e-b421-79f77ce24e4d,,Albino,Carbó,CARNICERIA HERMANOS MOLERO,"436798,6","4470833,55",COMERCIO AL POR MENOR DE CARNICERIA,,+34 620059834,Albino_Carbó@luz.es,"AVENIDA NUESTRA SEÑORA DE FATIMA,19",A62422383,True,C,2022-06-06,2022-06-06
13,e6cb1019-0cdb-456d-aa26-4f006ec5ec2b,,Sandra,Miguel,CARNICERIA AGUSTIN,"436798,6","4470833,55",COMERCIO AL POR MENOR DE CARNICERIA,,+34 626957303,Sandra_Miguel@cazorla-seco.com,"AVENIDA NUESTRA SEÑORA DE FATIMA,19",A64114982,False,C,2022-06-06,2022-06-06
15,1d555283-e251-4fdd-a6fe-51d0c1e2c51e,,Morena,Castañeda,"SUPERMERCADOS HIPER USERA, S.L.","437194,59","4469691,54","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 626972631,Morena_Castañeda@espanol.es,"CALLE BELZUNEGUI,26",A19268829,False,X,2022-06-06,2022-06-06
17,965421b7-729e-40b9-9aa6-870735373891,,Marco,Llamas,LA PLAZA,"438803,59","4471817,54","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 629392246,Marco_Llamas@menendez.es,"CALLE GENERAL RICARDOS,55",A22182800,True,X,2022-06-06,2022-06-06
18,ff599e88-4c71-4e3c-bff0-db6ffcc8f9d2,,Perlita,Villa,FRUTAS Y VERDURAS,"439571,59","4471940,53",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 621002674,Perlita_Villa@cepeda.es,"CALLE ANTONIO LOPEZ,38",A22889772,True,F,2022-06-06,2022-06-06
19,6c6a9315-2774-4284-895b-41359b4139d8,,Nerea,Belda,ALIMENTACION Y MASCOTAS,"437942,59","4470055,54","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 628373582,Nerea_Belda@parejo.org,"AVENIDA ABRANTES,88",A80596704,True,X,2022-06-06,2022-06-06
21,d95df3bb-ab7f-46ba-8ced-9b0bd4c8ea9c,,Guiomar,Tudela,FRUTERIA VERDULERIA,"437004,59","4469488,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 621394875,Guiomar_Tudela@santamaria.net,"CALLE ALBOX,21",A08033469,True,F,2022-06-06,2022-06-06
22,fafd33ea-5b51-4a0a-bd62-be88c06903b5,,Lola,Sánchez,CONGELADOS SALCEDO,"436593,59","4469872,55",COMERCIO AL POR MENOR DE CONGELADOS,,+34 625189075,Lola_Sánchez@llado.es,"CALLE FEDERICO GRASES,20",A51338068,False,P,2022-06-06,2022-06-06
23,eecf4964-5a12-4f1b-91a6-f7423df99124,,Celso,Cruz,LA GALLEGA,"438554,59","4471582,54",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 624917608,Celso_Cruz@escribano-fiol.com,"CALLE CAMINO VIEJO DE LEGANES,10",A74458069,True,R,2022-06-06,2022-06-06
24,b251eae6-719a-444c-a004-176eb9055aa1,,Américo,Miguel,CHARCUTERIA-CARNICERIA JOSE CARLOS,"436769,6","4471047,55",COMERCIO AL POR MENOR DE CARNICERIA-CHARCUTERIA,,+34 629225187,Américo_Miguel@perales-paredes.org,"CALLE EL ESPINAR,1",A34239664,False,C,2022-06-06,2022-06-06
26,3b73e1ff-b9f1-4afe-9425-3a8b818ea8a6,,Jessica,Castells,FRUTERIA HALCON,"436997,59","4469534,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 627368682,Jessica_Castells@franco.es,"CALLE ALBARES DE LA RIBERA,6",A03272647,False,F,2022-06-06,2022-06-06
27,927d7af1-d660-475c-8f9d-e19cd2918f6a,,Leandra,Lago,QUE RICO ESTA EL POLLO,"436954,6","4471008,55","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",,+34 624201028,Leandra_Lago@cuevas.com,"CALLE HALCON,43",A62798271,False,C,2022-06-06,2022-06-06
29,832f893e-0e55-47d1-8e24-60e53deac3e8,,Rita,Porcel,POLLERIA,"436846,59","4469922,55","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",,+34 626334458,Rita_Porcel@balaguer.com,"CALLE ALBA DE TORMES,29",A36640616,True,C,2022-06-06,2022-06-06
30,9c5333d7-8ce8-4ad8-a91d-c77104960ef9,,Imelda,Esteban,CAFE DE INDIAS,"438452,59","4471497,54",COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR,,+34 620954982,Imelda_Esteban@cerro.org,"CALLE SAN PATRICIO,1",A52930051,False,H,2022-06-06,2022-06-06
31,4d390525-ed1c-4515-83d7-16288dcc3cd3,,Ángela,Molina,ALIMENTACI0N,"438452,59","4471497,54",COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,,+34 626171551,Ángela_Molina@baena.net,"CALLE SAN PATRICIO,1",A90842360,True,X,2022-06-06,2022-06-06
32,39646029-8047-460f-b45f-f8336dc9e38e,,Liliana,Olmo,AQUI LA FRUTA,"437979,6","4471229,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 625334146,Liliana_Olmo@pujol-rebollo.net,"CALLE GENERAL RICARDOS,158",A34824685,False,F,2022-06-06,2022-06-06
33,4bdeeaab-681c-4042-84e9-4a1f0f1c4931,,Soraya,Palomares,HIPER USERA,"436977,6","4470529,55",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 624248466,Soraya_Palomares@garces.net,"CALLE NUESTRA SEÑORA DE LA LUZ,6",A80367463,True,F,2022-06-06,2022-06-06
35,c11e5d5f-fc21-41d9-b93f-72d7d97c636d,,Andrés,Planas,VENTA DULCES,"438318,59","4470758,54",COMERCIO AL POR MENOR DE GOLOSINAS,,+34 623335434,Andrés_Planas@navarro.com,"PLAZA SAN VICENTE DE PAUL,4",A71944769,False,G,2022-06-06,2022-06-06
36,ab0cf23c-48c0-4137-b49d-625ebc8e0274,,Fabiola,Galiano,DIA @ GO,"438320,59","4470724,54","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",,+34 622697120,Fabiola_Galiano@camino.com,"PLAZA SAN VICENTE DE PAUL,3",A50965897,False,C,2022-06-06,2022-06-06
38,67dde396-1dc1-43d0-ae94-7dc0bc76aa7b,,Marc,Jordá,PANADERIA Y PASTELERIA MITAD DEL MUNDO,"438452,59","4471497,54","COMERCIO AL POR MENOR DE  PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION",,+34 621824399,Marc_Jordá@mate.es,"CALLE SAN PATRICIO,1",A89279200,False,R,2022-06-06,2022-06-06
39,33099ab4-b7cc-4874-8f19-a0c01ac32c4a,,Marita,Roig,INNOVACI0N ALIMENTARIA,"439989,59","4471713,53",COMERCIO AL POR MENOR DE CHARCUTERIA,,+34 626919847,Marita_Roig@arrieta-torrijos.com,"CALLE ANTONIO LOPEZ,67",A55726454,True,C,2022-06-06,2022-06-06
40,fdd78aed-4323-404d-bf18-185c594aa799,,Palmira,Torre,Q DELICIA,"438302,59","4470601,54","COMERCIO AL POR MENOR DE  PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION",,+34 621519230,Palmira_Torre@berrocal.com,"CALLE PELICANO,10",A94811590,True,R,2022-06-06,2022-06-06
41,507a5404-e808-4cd6-af02-102d51444f2f,,Vasco,Amor,CASQUERIA,"436236,59","4469609,55",COMERCIO AL POR MENOR DE CASQUERIA,,+34 622916861,Vasco_Amor@ariza-dominguez.com,"CALLE EUGENIA DE MONTIJO,110",A27963173,True,C,2022-06-06,2022-06-06
